"TIV of arms exports from all, 1950-2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 16 October 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Total
,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,0,,1,,,3,3,4,4,,3,1,,,,29,,2,1,1,,1,,,,,,100,,,,,,20,173
,China,,,,,3,,39,30,463,361,285,35,51,11,61,419,619,410,680,607,843,1264,1210,674,511,694,612,224,617,560,949,642,1514,1773,1929,1278,1862,2606,1409,1040,941,1315,703,1436,1111,1013,769,435,353,332,302,515,518,693,386,281,643,479,591,1138,1459,1336,1666,2068,1083,47846
,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,5
,Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0
,Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2
,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,12,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,43
,Czechoslovakia,17,15,15,9,49,950,1560,1576,1530,939,623,200,173,133,267,325,412,409,495,656,421,414,642,661,860,705,795,797,831,796,784,905,914,1036,1081,1005,1231,1284,1339,1050,613,411,210,,,,,,,,,,,,,,,,,,,,,,,29138
,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,274,131,114,22,20,55,80,87,60,64,1,73,44,32,32,22,5,11,8,34,17,1338
,Denmark,,,,,,,,,,,20,,,,60,20,,131,28,3,,,,,,23,,,,,18,29,64,115,,,,116,40,,71,10,,241,330,8,,,1,6,20,1,10,62,173,,9,6,17,14,8,21,23,9,13,1716
,DR Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,East Germany (GDR),,,,,,,,,,,17,25,17,29,39,26,,,,,,,,,11,,12,26,14,35,35,43,3,,,,39,116,116,149,77,,,,,,,,,,,,,,,,,,,,,,,,,828
,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
,Egypt,,,,,,,9,6,4,4,,0,7,8,2,,13,,26,15,37,,,,,16,,69,80,13,29,77,80,70,36,5,19,61,65,63,20,,13,22,15,9,5,5,,,,,,,,,,,,,,,,,,902
,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,2
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,8
,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,51,,,,,,,,,,17,,,,,,,,,,,,,,,,,,90
,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
,Finland,,,,,,,,,,,60,1,,,,1,86,33,33,33,2,39,30,,63,63,,,63,63,,,20,,,,,,1,,,22,11,13,22,26,9,10,34,28,12,33,34,44,34,47,137,77,77,51,58,40,110,83,84,1681
,FMLN (El Salvador)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
,France,14,67,43,315,371,471,864,648,703,793,1133,956,989,1292,1494,1247,1701,1526,1471,1446,1643,2282,2606,2876,2095,2154,2006,2678,3301,3019,3860,3786,3831,3468,3029,4026,3025,1785,1963,2207,1698,1107,1183,926,842,967,1896,3230,3139,1859,1116,1455,1474,1441,2324,1842,1702,2408,2063,1959,911,1770,1067,1578,1978,115121
,Gabon,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,69,,69,,16,,,,,,,,,,,200
,Germany (FRG),,,,38,29,24,24,44,25,93,156,12,146,133,418,307,693,761,588,749,1461,1364,1377,226,1208,1440,1662,1712,1628,1439,1648,2029,1677,2395,2944,1374,1504,1043,1480,1246,1834,2516,1453,1580,2751,1468,1974,955,1837,1871,1619,923,916,1731,1139,2081,2710,3257,2388,2547,2725,1359,1161,942,1200,80030
,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,25
,Greece,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15,10,18,,19,31,9,3,2,2,,6,22,13,23,,,,,,,,,173
,Guatemala,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Hungary,,,,,,,,5,,,,,,,,,18,18,37,28,,,8,44,8,8,,,,,4,30,4,4,,,,,,,,,,21,,6,,24,,,,,34,,,82,,9,,,,,,41,,429
,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,5
,India,,,,,,,,,,1,,,,,,,,,1,,,6,2,21,24,31,,,27,22,,,2,,,,,0,1,0,3,0,1,9,2,2,0,0,0,0,21,2,0,4,27,19,33,21,11,27,5,3,,11,55,395
,Indonesia,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,9,,4,,,,,8,4,,,,,,,16,16,25,,8,,49,,16,49,,25,8,8,,1,,,8,,,,261
,Iran,,,,,,,,,,,,,3,,,,,28,,,23,6,106,6,123,84,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,3,9,1,2,75,,43,45,45,86,21,12,42,777
,Iraq,,,,,,,,0,,,3,,,,,,,,,,,,,,,,,,,,28,,,,,,,,168,20,,,,,,,,,,,,,,,,,,,,,,,,,,219
,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,15,30,29,26,26,25,1,25,31,8,239
,Israel,,,,,8,30,,4,,23,,,,,5,10,14,13,23,24,13,21,31,17,50,120,62,202,212,190,274,217,254,414,281,209,354,137,75,212,85,152,324,383,296,166,285,246,229,190,387,439,572,442,677,509,399,529,347,734,647,587,530,756,824,14234
,Italy,138,117,24,,7,143,257,275,234,8,104,240,258,239,369,288,234,128,162,334,275,365,292,342,417,747,660,638,678,1306,1149,1690,1690,1199,1274,932,227,604,384,335,205,337,247,336,204,297,326,454,426,504,204,243,468,355,251,825,527,713,393,493,524,939,828,953,786,30602
,Japan,,,,,2,110,38,112,3,41,1,61,100,7,13,,5,,,34,,15,4,17,41,,,,9,11,167,,,17,17,55,99,,,15,30,68,126,153,162,158,188,32,,,,,,,,,,40,,,,,,,,1950
,Jordan,,,,,,,,,,2,,,,,,,,,,,,36,,22,9,50,,18,,,,,,76,,2,16,,7,16,,,,,64,,,6,,,,,,,42,20,,13,12,60,111,,20,1,114,718
,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,3,6,183,19,12,,,5,,6,,,,,,,,,260
,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,12
,Kuwait,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,24,,,,4,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,129
,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,92,,,18,18,14,,,,,,,200
,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,9
,Lebanon,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,45,,,,,,,,,,,,,47
,Libya,,,,,,,,,,,,,,,,,,,,,,,0,0,,26,4,,8,398,95,107,168,14,54,32,10,14,62,7,36,,,,3,,,3,10,,,,21,16,113,113,18,10,18,32,28,,,,,1418
,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,3
,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0
,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
,Malaysia,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,6,,,,,,,,,,,,,0,,,,11,,,,,,,,,,0,,,,,,25
