"TIV of arms exports from all, 1950-2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 16 October 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Total
,South Africa,,,,,,,,,,8,27,33,,,,,,4,6,,3,5,12,1,2,18,16,0,,,39,39,1,,,50,50,53,50,0,,54,75,54,11,17,31,7,24,27,20,37,17,43,72,30,184,126,139,103,235,71,181,95,59,2125
,South Korea,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,105,105,130,65,,126,33,78,,51,48,72,118,,60,7,27,64,60,72,,10,228,,96,73,108,158,279,178,269,197,331,218,235,153,3892
,South Vietnam,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,South Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
,Soviet Union,3884,3743,6295,8297,8909,5945,6495,6607,8232,8054,6507,6218,7994,7253,9068,8727,10405,11491,11037,10303,10694,11564,13427,14608,14541,11207,9485,15277,17871,17044,17778,16526,16076,14520,13909,14786,14665,13624,12752,12262,9734,5646,,,,,,,,,,,,,,,,,,,,,,,,453459
,Spain,,,,,,,,,,,2,8,10,10,12,26,26,12,12,10,70,140,4,4,84,267,46,25,38,18,10,130,251,357,252,85,177,148,141,174,108,100,65,98,237,82,105,625,170,43,46,8,16,95,52,108,840,601,602,961,277,1437,546,733,1110,11611
,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,8
,Sudan,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,16
,Sweden,27,46,64,165,21,105,96,111,280,15,38,35,35,23,31,32,56,55,60,36,262,550,138,15,75,121,71,53,55,263,165,138,130,114,229,211,341,263,521,412,243,177,168,114,122,197,352,107,340,392,375,914,171,526,303,537,397,342,457,419,664,705,488,407,394,14768
,Switzerland,,,,,,,,,,50,442,500,530,329,371,484,359,253,87,104,18,37,29,19,37,307,335,279,231,434,610,639,499,380,509,353,319,308,318,261,404,432,396,184,133,139,186,118,210,273,174,206,157,181,249,247,286,295,461,227,238,310,250,193,350,15731
,Syria,,,,,,,,,,,,,,,,,,,,,14,,,,2,2,,0,,,,,178,46,2,29,31,,15,,,,40,40,,,0,0,,,,,,,,,3,,,20,20,,,,,442
,Taiwan (ROC),,,,,,,,,,,,,,,,,,12,,,,,154,,,,,,,1,,,,,,,,,,42,6,,,,,,4,5,,,,6,0,,,,,,,16,,,2,,,249
,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,93,,,,,,,,,107
,Turkey,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,23,11,,,,,,,,,,,,,,3,3,0,3,43,19,5,26,42,28,14,73,42,97,63,72,86,143,146,274,1218
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,14,,,,1,,,2,,,,,28,6,32,,,,,,,3,11,17,3,1,34,39,3,,43,2,245
,Uganda,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,82,236,167,260,558,708,731,270,511,307,295,198,291,542,623,378,377,470,534,1450,708,664,10526
,United Kingdom,2300,3218,3249,4614,5150,4770,6069,4813,3965,3417,2145,1173,1299,1132,1417,1471,1339,1939,1504,1763,868,2149,2494,2741,2340,2316,2446,2304,2138,1481,1687,2403,2565,2556,2565,2203,2037,3583,2538,3520,1877,1526,1195,1453,1560,1493,1677,2418,1428,1380,1638,1392,1102,752,1221,1069,995,984,990,1021,1101,1010,930,1484,1704,137082
,United Nations**,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,United States,1713,4703,6387,8859,6028,6591,8446,8564,9693,7338,5961,6376,5725,9029,12077,11054,8349,7165,8101,11334,8634,11478,10585,11839,12074,15708,15440,14537,14186,9764,10697,13451,13960,13834,11796,10689,11548,12243,11801,11342,10762,12540,14107,13836,11461,11146,10808,14518,15708,11553,7591,5682,4955,5618,6752,6758,7521,7834,6814,6822,8169,9111,9018,7384,10194,635766
,Unknown country,23,12,,,,2,17,17,17,17,17,19,5,1,1,2,4,14,0,0,,4,15,4,7,15,7,1,12,31,30,38,21,9,2,7,87,2,14,10,10,10,3,38,53,1,75,10,3,2,11,23,21,14,10,44,3,0,35,13,28,3,20,5,30,947
,Uruguay,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,7
,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,126,4,,,,209,209,209,,,,1009
,Venezuela,,,,,,,,,,,,,,,,,,,,17,,,,,,13,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1,,7,,3,40,,,,,,80
,Viet Nam,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,18
,Yugoslavia,,,,,,,17,,58,,6,,,,23,31,,,,21,3,21,,27,,14,41,75,53,33,101,91,24,47,71,94,8,2,16,18,80,515,32,,,,,,,,,,,,,,,,,,,,,,,1519
,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2
,Zimbabwe,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,8371,12071,16408,22397,20948,19772,24212,22982,25729,21361,17689,16331,17680,20096,26384,24980,24946,25095,25262,28214,25777,32554,34112,34754,35164,36996,34991,40117,43336,38308,41809,45029,45798,43956,41562,38678,39152,39726,37003,35523,30047,28267,24166,25922,22806,22880,23894,28937,27859,25268,19440,18995,17809,19295,21492,21582,24679,26519,24207,24308,25631,30108,28902,27916,28308,1804510
